os,algorithm,n,metric,mean,ci_lower,ci_upper,margin_abs,margin_pct
linux,BinaryTrees,16,duration_ms,192.390513,190.476111,194.304914,1.914402,0.995060
linux,BinaryTrees,16,pkg_energy_j,2.096572,2.069679,2.123465,0.026893,1.282713
linux,BinaryTrees,16,dram_energy_j,0.212296,0.208272,0.216319,0.004024,1.895351
linux,BinaryTrees,18,duration_ms,1246.149727,1236.888878,1255.410577,9.260849,0.743157
linux,BinaryTrees,18,pkg_energy_j,12.878235,12.791465,12.965005,0.086770,0.673774
linux,BinaryTrees,18,dram_energy_j,1.425439,1.413188,1.437691,0.012251,0.859476
linux,FannkuchRedux,11,duration_ms,643.001440,638.379681,647.623199,4.621759,0.718779
linux,FannkuchRedux,11,pkg_energy_j,17.424379,17.210741,17.638018,0.213639,1.226090
linux,FannkuchRedux,11,dram_energy_j,0.484259,0.468766,0.499751,0.015492,3.199206
linux,FannkuchRedux,12,duration_ms,8663.906167,8652.218677,8675.593657,11.687490,0.134899
linux,FannkuchRedux,12,pkg_energy_j,232.162085,231.820347,232.503823,0.341738,0.147198
linux,FannkuchRedux,12,dram_energy_j,6.220499,6.200775,6.240224,0.019724,0.317089
windows,BinaryTrees,16,duration_ms,148.275171,146.692705,149.857636,1.582465,1.067249
windows,BinaryTrees,16,pkg_energy_j,4.305358,4.176381,4.434336,0.128978,2.995745
windows,BinaryTrees,16,dram_energy_j,0.214067,0.211118,0.217015,0.002948,1.377277
windows,BinaryTrees,18,duration_ms,1107.778837,1099.006468,1116.551205,8.772368,0.791888
windows,BinaryTrees,18,pkg_energy_j,29.088205,28.623573,29.552836,0.464631,1.597319
windows,BinaryTrees,18,dram_energy_j,1.462669,1.446031,1.479307,0.016638,1.137531
windows,FannkuchRedux,11,duration_ms,448.300043,446.662374,449.937713,1.637669,0.365307
windows,FannkuchRedux,11,pkg_energy_j,27.013006,26.094965,27.931047,0.918041,3.398514
windows,FannkuchRedux,11,dram_energy_j,0.318473,0.313800,0.323147,0.004673,1.467415
windows,FannkuchRedux,12,duration_ms,6293.892158,6275.134989,6312.649326,18.757169,0.298022
windows,FannkuchRedux,12,pkg_energy_j,281.436051,279.679593,283.192509,1.756458,0.624106
windows,FannkuchRedux,12,dram_energy_j,3.724031,3.662591,3.785471,0.061440,1.649819
