timestamp,os,variant,n,thread_mode,iteration,pkg_energy_uj,pp0_energy_uj,dram_energy_uj,duration_ms,cpu_temp_before,cpu_temp_after
2026-05-03T12:19:30.7167467Z,linux,BinaryTrees,16,multi,1,3674551,3289847,354491,301.724,44.0,43.0
2026-05-03T12:19:31.0241792Z,linux,BinaryTrees,16,multi,2,4153676,3711417,493224,288.526,43.0,46.0
2026-05-03T12:19:31.3122844Z,linux,BinaryTrees,16,multi,3,3936209,3520010,479124,287.250,46.0,45.0
2026-05-03T12:19:31.5996938Z,linux,BinaryTrees,16,multi,4,3626883,3181815,436156,282.137,44.0,44.0
2026-05-03T12:19:31.8647979Z,linux,BinaryTrees,16,multi,5,2899162,2588921,312927,264.362,44.0,45.0
2026-05-03T12:19:32.1387597Z,linux,BinaryTrees,16,multi,6,2869805,2537042,314147,269.964,42.0,44.0
2026-05-03T12:19:32.4068229Z,linux,BinaryTrees,16,multi,7,2847466,2542413,288757,267.330,44.0,44.0
2026-05-03T12:19:32.6822449Z,linux,BinaryTrees,16,multi,8,2907158,2528741,320678,271.154,42.0,43.0
2026-05-03T12:19:32.9418663Z,linux,BinaryTrees,16,multi,9,2730035,2448358,285705,258.989,43.0,45.0
2026-05-03T12:19:33.2327985Z,linux,BinaryTrees,16,multi,10,3273246,2915276,352477,287.431,42.0,44.0
2026-05-03T12:19:33.5211373Z,linux,BinaryTrees,16,multi,11,3501700,3194816,323669,287.601,44.0,44.0
2026-05-03T12:19:33.7998901Z,linux,BinaryTrees,16,multi,12,3198295,2800530,339294,274.214,42.0,47.0
2026-05-03T12:19:34.0071933Z,linux,BinaryTrees,16,multi,13,2717217,2493219,255492,206.401,47.0,47.0
2026-05-03T12:19:34.2152631Z,linux,BinaryTrees,16,multi,14,2443719,2181513,249023,201.365,47.0,44.0
2026-05-03T12:19:34.4112408Z,linux,BinaryTrees,16,multi,15,2088739,1868831,204284,195.202,44.0,44.0
2026-05-03T12:19:34.6263955Z,linux,BinaryTrees,16,multi,16,2296381,2017451,249633,210.164,43.0,45.0
