timestamp,os,variant,n,thread_mode,iteration,pkg_energy_uj,pp0_energy_uj,dram_energy_uj,duration_ms,cpu_temp_before,cpu_temp_after
2026-05-03T11:48:20.7155056Z,linux,Fannkuch,11,multi,1,21355902,20351755,616515,754.846,53.0,57.0
2026-05-03T11:48:21.3833373Z,linux,Fannkuch,11,multi,2,18401747,17454545,587889,654.503,57.0,61.0
2026-05-03T11:48:22.0446479Z,linux,Fannkuch,11,multi,3,18151382,17263017,530760,653.865,57.0,59.0
2026-05-03T11:48:22.7269379Z,linux,Fannkuch,11,multi,4,19350231,18227248,716490,679.156,58.0,59.0
2026-05-03T11:48:23.4373639Z,linux,Fannkuch,11,multi,5,20864449,19632762,790098,705.723,58.0,60.0
2026-05-03T11:48:24.1118675Z,linux,Fannkuch,11,multi,6,18841017,17949234,532286,671.596,59.0,58.0
2026-05-03T11:48:24.7712455Z,linux,Fannkuch,11,multi,7,18096023,17206743,526061,656.245,58.0,57.0
2026-05-03T11:48:25.4152474Z,linux,Fannkuch,11,multi,8,17257463,16433613,471495,641.203,57.0,60.0
2026-05-03T11:48:26.0544836Z,linux,Fannkuch,11,multi,9,17206132,16431537,465209,636.070,60.0,57.0
2026-05-03T11:48:26.6945420Z,linux,Fannkuch,11,multi,10,17098467,16307759,461241,637.410,57.0,61.0
2026-05-03T11:48:27.3692033Z,linux,Fannkuch,11,multi,11,18226271,17232317,580138,671.828,59.0,59.0
2026-05-03T11:48:28.0225156Z,linux,Fannkuch,11,multi,12,17398332,16540302,486144,649.154,58.0,58.0
2026-05-03T11:48:28.6822772Z,linux,Fannkuch,11,multi,13,17834366,16913470,500792,653.185,58.0,60.0
2026-05-03T11:48:29.3231482Z,linux,Fannkuch,11,multi,14,17149675,16349079,462584,634.702,59.0,59.0
2026-05-03T11:48:29.9743424Z,linux,Fannkuch,11,multi,15,17387590,16560077,469176,642.727,58.0,60.0
2026-05-03T11:48:30.6156757Z,linux,Fannkuch,11,multi,16,17271501,16437397,471190,638.497,60.0,60.0
2026-05-03T11:48:31.2546001Z,linux,Fannkuch,11,multi,17,17123064,16341938,465453,635.507,58.0,60.0
2026-05-03T11:48:31.8918654Z,linux,Fannkuch,11,multi,18,16969744,16185322,466735,634.106,58.0,62.0
2026-05-03T11:48:32.5329861Z,linux,Fannkuch,11,multi,19,17255693,16433796,468138,638.374,60.0,61.0
2026-05-03T11:48:33.1732669Z,linux,Fannkuch,11,multi,20,16982012,16192402,462279,637.380,61.0,58.0
2026-05-03T11:48:33.8096968Z,linux,Fannkuch,11,multi,21,16989398,16219929,457884,633.686,58.0,60.0
2026-05-03T11:48:34.4488372Z,linux,Fannkuch,11,multi,22,17242448,16426472,459410,636.537,59.0,59.0
2026-05-03T11:48:35.0847258Z,linux,Fannkuch,11,multi,23,16988726,16178120,459410,633.027,59.0,62.0
2026-05-03T11:48:35.7223062Z,linux,Fannkuch,11,multi,24,17007830,16223592,458006,634.917,61.0,58.0
2026-05-03T11:48:36.3664809Z,linux,Fannkuch,11,multi,25,17195818,16329853,473937,641.472,58.0,62.0
2026-05-03T11:48:37.0050642Z,linux,Fannkuch,11,multi,26,17016070,16241719,459350,635.849,60.0,59.0
2026-05-03T11:48:37.6431091Z,linux,Fannkuch,11,multi,27,17339189,16467487,466063,635.205,59.0,59.0
2026-05-03T11:48:38.2880712Z,linux,Fannkuch,11,multi,28,17179521,16384968,464843,637.991,59.0,62.0
2026-05-03T11:48:47.0408853Z,linux,Fannkuch,12,multi,1,232066056,221298567,6241440,8675.599,57.0,58.0
2026-05-03T11:48:55.7304955Z,linux,Fannkuch,12,multi,2,233591870,222549052,6283248,8683.347,56.0,60.0
2026-05-03T11:49:04.4733216Z,linux,Fannkuch,12,multi,3,233673474,222593424,6470443,8738.868,58.0,58.0
2026-05-03T11:49:13.1193524Z,linux,Fannkuch,12,multi,4,232508499,221535383,6254989,8642.918,56.0,60.0
2026-05-03T11:49:21.7437646Z,linux,Fannkuch,12,multi,5,231278888,220560104,6143844,8621.631,59.0,63.0
2026-05-03T11:49:30.4011718Z,linux,Fannkuch,12,multi,6,232229935,221260847,6186142,8653.055,60.0,63.0
2026-05-03T11:49:39.0490728Z,linux,Fannkuch,12,multi,7,232053361,221177717,6176926,8644.686,61.0,64.0
2026-05-03T11:49:47.7079658Z,linux,Fannkuch,12,multi,8,232391679,221570111,6181808,8656.253,62.0,63.0
2026-05-03T11:49:56.3912376Z,linux,Fannkuch,12,multi,9,233491224,222569438,6260726,8680.284,61.0,61.0
2026-05-03T11:50:05.0843475Z,linux,Fannkuch,12,multi,10,232598892,221617047,6228134,8689.705,59.0,61.0
2026-05-03T11:50:13.7676994Z,linux,Fannkuch,12,multi,11,232497330,221624738,6201522,8680.415,61.0,61.0
2026-05-03T11:50:22.4413392Z,linux,Fannkuch,12,multi,12,232462112,221468061,6214706,8670.277,59.0,62.0
2026-05-03T11:50:31.1084165Z,linux,Fannkuch,12,multi,13,231855547,221070296,6170944,8663.791,60.0,65.0
2026-05-03T11:50:39.7744883Z,linux,Fannkuch,12,multi,14,231947587,220908858,6196761,8662.898,63.0,64.0
2026-05-03T11:50:48.4710316Z,linux,Fannkuch,12,multi,15,232646072,221581159,6251754,8693.123,62.0,63.0
2026-05-03T11:50:57.1864548Z,linux,Fannkuch,12,multi,16,233706189,222761820,6281051,8712.618,62.0,64.0
2026-05-03T11:51:06.5990785Z,linux,Fannkuch,12,multi,17,267328722,254273885,7498394,9409.520,62.0,66.0
2026-05-03T11:51:15.4967934Z,linux,Fannkuch,12,multi,18,242142446,230634908,6528486,8894.978,65.0,63.0
2026-05-03T11:51:24.2024931Z,linux,Fannkuch,12,multi,19,231718218,220639938,6240829,8703.008,61.0,62.0
2026-05-03T11:51:32.8683768Z,linux,Fannkuch,12,multi,20,232702041,221378401,6317489,8663.200,62.0,63.0
2026-05-03T11:51:41.4777075Z,linux,Fannkuch,12,multi,21,231086445,220253281,6160140,8606.441,62.0,66.0
2026-05-03T11:51:50.1601600Z,linux,Fannkuch,12,multi,22,232656265,221531293,6268539,8678.746,65.0,63.0
2026-05-03T11:51:58.8124375Z,linux,Fannkuch,12,multi,23,230737935,219812242,6184433,8649.128,60.0,65.0
2026-05-03T11:52:07.5191063Z,linux,Fannkuch,12,multi,24,231844255,220745773,6268966,8703.466,63.0,65.0
2026-05-03T11:52:16.1529319Z,linux,Fannkuch,12,multi,25,231849931,220765915,6233382,8630.541,64.0,64.0
2026-05-03T11:52:24.7812241Z,linux,Fannkuch,12,multi,26,231327716,220392136,6181137,8625.452,64.0,64.0
2026-05-03T11:52:33.4274151Z,linux,Fannkuch,12,multi,27,230641988,219712267,6163070,8643.166,62.0,63.0
