timestamp,os,variant,n,thread_mode,iteration,pkg_energy_uj,pp0_energy_uj,dram_energy_uj,duration_ms,cpu_temp_before,cpu_temp_after
2026-05-03T19:34:40.9612750Z,windows,Fannkuch,11,multi,1,42998841,41659607,505311,722.545,-1.0,-1.0
2026-05-03T19:34:41.4214946Z,windows,Fannkuch,11,multi,2,26779053,26142090,320068,451.062,-1.0,-1.0
2026-05-03T19:34:41.8767730Z,windows,Fannkuch,11,multi,3,27032349,26413879,327880,450.087,-1.0,-1.0
2026-05-03T19:34:42.3273450Z,windows,Fannkuch,11,multi,4,29612793,28947388,318298,449.129,-1.0,-1.0
2026-05-03T19:34:42.7778915Z,windows,Fannkuch,11,multi,5,26159302,25516235,315430,449.073,-1.0,-1.0
2026-05-03T19:34:43.2243520Z,windows,Fannkuch,11,multi,6,32106079,31433593,314332,445.024,-1.0,-1.0
2026-05-03T19:34:43.6862275Z,windows,Fannkuch,11,multi,7,27575439,26892029,333069,460.407,-1.0,-1.0
2026-05-03T19:34:44.1361004Z,windows,Fannkuch,11,multi,8,30238648,29647705,308655,448.152,-1.0,-1.0
2026-05-03T19:34:44.5836685Z,windows,Fannkuch,11,multi,9,25924011,25337036,309693,446.031,-1.0,-1.0
2026-05-03T19:34:45.0548204Z,windows,Fannkuch,11,multi,10,28925964,28284790,370605,469.330,-1.0,-1.0
2026-05-03T19:34:45.5425543Z,windows,Fannkuch,11,multi,11,27165344,26497376,393616,485.207,-1.0,-1.0
2026-05-03T19:34:45.9936082Z,windows,Fannkuch,11,multi,12,26043396,25410400,348816,449.097,-1.0,-1.0
2026-05-03T19:34:46.4499130Z,windows,Fannkuch,11,multi,13,26235291,24972229,331665,452.447,-1.0,-1.0
2026-05-03T19:34:46.9016617Z,windows,Fannkuch,11,multi,14,25965210,26027710,323791,447.784,-1.0,-1.0
2026-05-03T19:34:47.3516512Z,windows,Fannkuch,11,multi,15,24910889,24321106,319458,443.940,-1.0,-1.0
2026-05-03T19:34:47.8507630Z,windows,Fannkuch,11,multi,16,29369201,28705567,364013,497.315,-1.0,-1.0
2026-05-03T19:34:48.2974302Z,windows,Fannkuch,11,multi,17,29362915,28737488,309204,444.826,-1.0,-1.0
2026-05-03T19:34:48.7486759Z,windows,Fannkuch,11,multi,18,28845276,28422241,322693,449.628,-1.0,-1.0
2026-05-03T19:34:49.2232014Z,windows,Fannkuch,11,multi,19,24933533,24829102,351318,472.956,-1.0,-1.0
2026-05-03T19:34:49.6689944Z,windows,Fannkuch,11,multi,20,26936279,26341919,311951,444.349,-1.0,-1.0
2026-05-03T19:34:50.1163945Z,windows,Fannkuch,11,multi,21,24313233,23713501,315124,445.956,-1.0,-1.0
2026-05-03T19:34:50.5655944Z,windows,Fannkuch,11,multi,22,26462708,25841186,315857,447.718,-1.0,-1.0
2026-05-03T19:34:51.0145094Z,windows,Fannkuch,11,multi,23,27764893,27162415,311706,447.346,-1.0,-1.0
2026-05-03T19:34:51.4696925Z,windows,Fannkuch,11,multi,24,25460389,24819519,332093,453.436,-1.0,-1.0
2026-05-03T19:34:51.9184355Z,windows,Fannkuch,11,multi,25,29950378,29340149,307495,447.346,-1.0,-1.0
2026-05-03T19:34:52.3698933Z,windows,Fannkuch,11,multi,26,24190856,23553406,319092,450.050,-1.0,-1.0
2026-05-03T19:34:52.8158634Z,windows,Fannkuch,11,multi,27,24497192,23897888,307495,444.468,-1.0,-1.0
2026-05-03T19:34:53.2634072Z,windows,Fannkuch,11,multi,28,24932556,24318298,301025,443.545,-1.0,-1.0
2026-05-03T19:34:59.6256828Z,windows,Fannkuch,12,multi,1,358794556,351342103,3640748,5987.617,-1.0,-1.0
2026-05-03T19:35:05.6041917Z,windows,Fannkuch,12,multi,2,350754882,343245971,3492065,5975.231,-1.0,-1.0
2026-05-03T19:35:11.7483577Z,windows,Fannkuch,12,multi,3,329871949,322231690,3645996,6142.314,-1.0,-1.0
2026-05-03T19:35:18.3046854Z,windows,Fannkuch,12,multi,4,259791077,251811035,3791198,6554.396,-1.0,-1.0
2026-05-03T19:35:24.5978812Z,windows,Fannkuch,12,multi,5,282724060,275045166,3714783,6291.334,-1.0,-1.0
2026-05-03T19:35:30.8406578Z,windows,Fannkuch,12,multi,6,278735535,271151184,3559936,6240.845,-1.0,-1.0
2026-05-03T19:35:37.1186924Z,windows,Fannkuch,12,multi,7,279072632,271351380,3695191,6276.302,-1.0,-1.0
2026-05-03T19:35:43.3729850Z,windows,Fannkuch,12,multi,8,283936951,276426758,3590881,6252.682,-1.0,-1.0
2026-05-03T19:35:49.6562179Z,windows,Fannkuch,12,multi,9,281928344,274256225,3676636,6281.380,-1.0,-1.0
2026-05-03T19:35:55.9392264Z,windows,Fannkuch,12,multi,10,278968322,271209778,3712342,6281.217,-1.0,-1.0
2026-05-03T19:36:02.4085223Z,windows,Fannkuch,12,multi,11,293591186,271722351,3973511,6467.567,-1.0,-1.0
2026-05-03T19:36:08.6894163Z,windows,Fannkuch,12,multi,12,284608338,276138123,3675171,6278.539,-1.0,-1.0
2026-05-03T19:36:15.0745870Z,windows,Fannkuch,12,multi,13,285345947,275526794,3902221,6383.523,-1.0,-1.0
2026-05-03T19:36:21.3622269Z,windows,Fannkuch,12,multi,14,277041137,268877381,3641052,6285.891,-1.0,-1.0
2026-05-03T19:36:27.6325528Z,windows,Fannkuch,12,multi,15,277339050,269413025,3688049,6268.524,-1.0,-1.0
2026-05-03T19:36:33.9135561Z,windows,Fannkuch,12,multi,16,278795044,270867614,3625000,6279.320,-1.0,-1.0
